time_us,pressure_pa,temp,altitude,fakeYaw,fakePitch,fakeRoll,ax,ay,az,wx,wy,wz,cont_drogue,cont_main,state,fired_main_us,fired_drogue_us
2597178916,100490,29.88,0,41.66,85.77,89.97,-3938.23,249.02,309.08,-1.22,0.24,0.12,634,643,0,0,0
2598202626,100487,29.88,0,38.01,85.43,86.32,-3930.18,317.87,-14.65,1.1,0.12,-0.12,634,643,0,0,0
2599222411,100481,29.88,0,45.2,85.8,93.64,-3990.97,319.34,57.86,0.37,0.12,0.12,634,643,0,0,0
2600242223,100490,29.87,0,48.53,86.18,97.01,-3989.5,279.05,-32.96,-0.49,0.06,0.12,634,643,0,0,0
2601253704,100495,29.87,0,64.51,85.46,113.03,-4012.94,302.49,-15.38,-0.43,0.06,0.06,638,636,0,0,0
2602273523,100487,29.87,0,66.43,84.71,114.91,-4015.14,305.42,-10.99,0.24,0.06,-0.12,638,636,0,0,0
2603293334,100487,29.88,0,42.27,85.66,90.69,-4007.08,315.67,12.45,0.24,0.18,0.12,638,636,0,0,0
2604313109,100491,29.87,0,43.62,85.72,92.08,-4010.74,312.01,-12.45,-0.31,-0.06,-0.12,638,636,0,0,0
2605332915,100476,29.88,0,42.46,85.6,90.99,-3992.43,320.8,-3.66,0.49,0.18,0.06,638,636,0,0,0
2606344379,100487,29.87,0,48.94,85.41,97.43,-4004.15,332.52,-42.48,-0.06,0.31,0.24,639,638,0,0,0
2607364156,100488,29.88,0,42.62,85.75,91.12,-3999.02,272.46,-12.45,-0.37,0.18,0.12,639,638,0,0,0
2607690107,100492,29.87,0.25,48.31,86.26,96.89,-4006.35,276.86,-41.02,-0.49,0.06,0.24,639,638,0,0,0
2607701070,100490,29.87,0.41,48.92,86.24,97.5,-4006.35,276.86,-41.02,-0.43,-0.06,0.12,639,638,0,0,0
2607711080,100490,29.87,0.41,49.48,86.23,98.06,-4006.35,276.86,-41.02,-0.43,-0.06,0.12,639,638,0,0,0
2607721084,100490,29.87,0.41,50.05,86.22,98.62,-4006.35,276.86,-41.02,-0.43,-0.12,0.24,639,638,0,0,0
2607731088,100490,29.87,0.41,49.51,86.22,98.05,-4006.35,276.86,-41.02,-0.49,-0.18,0.18,639,638,0,0,0
2607741092,100490,29.87,0.41,50.03,86.22,98.59,-4006.35,276.86,-41.02,-0.49,-0.24,0.12,639,638,0,0,0
2607752065,100494,29.87,0.16,49.46,86.22,97.99,-4006.35,276.86,-41.02,-0.31,-0.12,0.18,639,638,0,0,0
2607762074,100494,29.87,0.16,49.99,86.22,98.55,-4006.35,276.86,-41.02,0.06,-0.12,0.18,639,638,0,0,0
2607772080,100494,29.87,0.16,49.48,86.22,98.02,-4006.35,276.86,-41.02,0.18,-0.24,0,639,638,0,0,0
2607782086,100494,29.87,0.16,49.97,86.22,98.53,-4006.35,276.86,-41.02,0.12,-0.24,0.06,639,638,0,0,0
2607792093,100494,29.87,0.16,49.52,86.23,98.05,-4006.35,276.86,-41.02,-0.12,0,0,639,638,0,0,0
2607803050,100495,29.87,-0.01,50.1,86.22,98.66,-4006.35,276.86,-41.02,-0.18,0.18,0,639,638,0,0,0
2607813055,100495,29.87,-0.01,49.64,86.22,98.17,-4006.35,276.86,-41.02,-0.12,0.24,0.06,639,638,0,0,0
2607823061,100495,29.87,-0.01,50.19,86.21,98.75,-4006.35,276.86,-41.02,-0.06,0.24,0.06,639,638,0,0,0
