timestamp (us),gx (d/s),gy (d/s),gz (d/s)
5943638,0.31,0.24,-0.12
5949752,0.18,0.18,0
5956884,0,0.06,0
5963017,-0.31,-0.06,0.06
5968835,-0.73,-0.24,0.24
5974747,-0.67,-0.31,0.24
5980660,-0.43,-0.18,0.12
5986576,-0.06,-0.06,0
5994989,0.49,0,-0.12
6000908,0.61,0,-0.18
6006839,0.61,0.06,-0.24
6012769,0.43,0.12,-0.24
6018703,-0.18,0.12,0
6024639,-0.43,0.12,0.12
6032093,-0.55,0.18,0.24
6037973,-0.43,0.12,0.18
6043823,0.06,-0.06,-0.18
6050613,0.37,-0.12,-0.24
6056467,0.61,-0.24,-0.24
6062279,0.67,-0.24,-0.12
6069593,0.12,-0.06,0.12
6075411,-0.24,0,0.24
6081229,-0.49,0,0.31
6087060,-0.61,0,0.31
6092890,-0.49,0,0.24
6098716,0.12,-0.24,0
6106999,0.43,-0.37,-0.12
6112836,0.67,-0.43,-0.24
6118679,0.61,-0.12,-0.18
6124524,0.31,0.18,0
6130369,0,0.43,0.12
6136218,-0.12,0.61,0.12
6143543,-0.24,0.61,0.06
6149398,-0.18,0.43,0.06
6155256,0.06,0.24,0.06
6162112,0.31,-0.06,0.06
6167973,0.55,-0.31,0
6173848,0.61,-0.37,-0.06
6181200,0.31,-0.31,0
6187077,0,-0.18,0.06
6192960,-0.18,0,0.12
6198847,-0.18,0.12,0.06
6204737,0,0.12,-0.06
6210624,0.24,0,-0.18
6218994,0.31,0,-0.06
6224884,0.24,0,0.06
6230780,0.06,-0.12,0.12
6236673,-0.06,-0.24,0
6242574,-0.18,-0.24,-0.06
6248633,-0.06,-0.12,-0.06
6264074,0,-0.24,0.12
6270734,0.12,-0.12,0.12
6276803,0.24,0.12,0.12
6282888,0.31,0.31,0.18
6288980,0.12,0.31,0.24
6295071,-0.06,0.12,0.12
6302290,-0.12,0,0
6308126,0,-0.06,0
6313965,0.18,-0.12,0.06
6319810,0.12,0,0.12
6326638,0.06,0.12,0.12
6332453,-0.12,0.12,0.18
6339719,-0.18,0,0.12
6345546,-0.06,-0.06,0.06
6351357,0,-0.06,0.06
6357172,0,0,0
6362994,0,0,0
6369163,0,-0.06,0.12
6376384,0,-0.12,0.12
6383135,-0.06,-0.12,0.12
6389300,0,0.12,0.18
6395479,0.06,0.18,0.18
6401659,0.06,0.12,0.12
6407849,0.06,0.06,0.06
6415037,-0.06,0.18,0.06
6421177,-0.18,0.24,0.12
6439258,-0.18,-0.12,0.06
6445446,0.06,-0.06,0
6451649,0.31,0,0
6457811,0.31,-0.18,0
6464469,-0.06,-0.31,0.06
6470295,-0.24,-0.18,0.06
6476130,-0.31,0,0.12
6481966,-0.24,0.18,0.12
6487805,-0.24,0.18,0.18
6494226,-0.12,-0.06,0.12
6500939,0.06,-0.12,0.06
6506786,0.12,-0.12,0.12
6512638,0.06,-0.06,0.18
6518491,0.06,0.12,0.24
6524344,0.06,0.12,0.24
6530213,0.06,0.18,0.24
6536936,0.12,0.12,0.18
6542806,0.18,-0.06,0.06
6549259,0.18,-0.24,-0.18
6555129,0.18,-0.06,-0.24
6561016,0.12,0.06,-0.18
6566898,0.06,0,-0.06
6573668,0.06,-0.12,0.12
6579562,0.06,-0.18,0.12
6585455,0.06,-0.24,0.12
6591351,0.12,-0.24,0.06
6597233,0.18,-0.12,-0.12
6603715,0.06,0,-0.18
6610432,-0.12,-0.12,-0.06
6616320,-0.12,-0.12,0.06
6622211,-0.12,-0.06,0.12
6628109,-0.06,0,0.12
6633966,0,-0.06,0.06
6640704,0,-0.18,0
6646560,0,-0.24,0
6652419,0,-0.24,-0.06
6658863,0.12,0.06,-0.06
6664719,0.18,0.24,0
6670593,0.12,0.24,0.06
6677312,0.06,0.24,-0.06
6687395,-0.31,0,-0.31
6693267,-0.18,-0.24,-0.24
6699160,0.06,-0.24,-0.18
6705010,0.12,-0.24,-0.06
6711435,0,-0.18,0
6718137,-0.18,-0.18,0
6723992,-0.06,-0.06,-0.06
6729847,0.12,0,-0.06
6735703,0.24,0.06,-0.06
6741564,0.18,0.12,-0.06
6747426,0.18,0.18,-0.12
6754160,0.06,0,-0.31
6760038,-0.06,-0.24,-0.24
6766490,-0.18,-0.43,-0.12
6772352,-0.24,-0.49,0.06
6778298,-0.12,-0.37,0.18
6784301,0.12,-0.18,0.12
6791239,0.18,-0.06,0.06
6797251,0.24,0.06,0
6803262,0.18,0.24,-0.12
6809280,0.12,0.31,-0.12
6815302,0.06,0.31,-0.06
6821902,0.06,0.18,-0.06
6828870,0.12,-0.06,0
6834894,0.06,-0.18,0
6840920,0.12,-0.24,0
6846953,0.12,-0.31,0
6852989,0.18,-0.31,0
6859024,0.12,-0.18,-0.06
6866022,0.12,-0.06,-0.12
6873059,0.12,0.12,-0.12
6879093,0.06,0.18,0
6885150,0.06,0.12,0
6891205,-0.06,-0.06,0.06
6897261,-0.12,-0.18,0.12
6904291,0,-0.24,0.12
6910357,0,-0.31,0.12
6916426,-0.06,-0.24,0.12
6922495,0.06,-0.06,0.06
6929149,0.24,0.18,0
6935214,0.18,0.12,-0.06
6942275,0.06,0,-0.12
6948360,0,-0.06,-0.06
6954447,0.06,0,-0.06
6960535,0.06,0.06,-0.06
6966625,0.06,0.12,-0.06
6972721,0.06,0.06,0
6980785,0,0,0
6986870,-0.06,0,0
6992971,-0.12,0,0.06
6999078,0,0,0
7005191,0.06,-0.06,-0.12
7011304,0.06,-0.06,-0.06
7018420,0.24,0,0.06
7024535,0.24,0,0.06
7030654,0.24,0.12,0
7037361,0.18,0.12,0
7043478,0.06,0,0.12
7050694,0.06,-0.06,0.12
7056504,0.12,-0.12,0.12
7062320,0.18,-0.18,0.06
7068141,0.18,-0.24,0
7073969,0.06,-0.31,-0.06
7079802,0,-0.18,-0.06
7093484,-0.06,-0.12,0
7099772,-0.18,-0.12,0
7105940,-0.12,-0.06,0
7112107,0,-0.06,-0.12
7118278,0.31,0,-0.18
7124450,0.31,0,-0.12
7131639,0.24,0,-0.12
7137821,0.06,-0.06,-0.06
7144577,-0.06,0,-0.06
7150751,-0.06,0.12,-0.06
7156943,0.06,0.31,0
7163140,0.06,0.31,0
7170367,0.06,-0.06,-0.18
7176568,0,-0.18,-0.18
7182767,0,-0.18,-0.12
7188975,0.06,-0.12,0
7195757,0.12,-0.06,-0.06
7201957,0.12,-0.06,0.06
7209215,0.06,0,0.24
7215030,0.06,0,0.12
7220848,0.06,0,0
7235366,0.12,0,0
7241199,0.12,0.06,0.12
7247613,0.12,0.12,0.18
7254298,-0.06,0.06,0.12
7260139,-0.12,-0.06,0.06
7265983,-0.06,-0.06,0.06
7271835,-0.06,-0.06,0.06
7277685,0,0,0.06
7283536,0.06,-0.06,0
7290249,0,0,0
7296109,0.06,0.06,-0.06
7302550,0.06,0.12,-0.06
7308404,0,-0.06,-0.06
7314276,0,-0.06,-0.06
7320150,0.06,0.06,-0.06
7326895,0,0.06,0
7332767,-0.06,0.12,0
7338651,-0.06,0.06,-0.06
7344537,0,0,-0.06
7350420,0.12,-0.06,-0.06
7358173,0.12,0,-0.06
7364061,0,0.06,-0.12
7369962,0,0,-0.18
7375863,0,-0.06,-0.12
7381764,0.06,-0.12,-0.12
7387678,0.12,-0.12,-0.06
7394474,0.06,-0.06,0
7400384,0.06,0,-0.06
7406294,0.06,0.06,0
7412790,0.18,0.12,0
7418695,0.18,0.12,0.12
7424621,0.18,0.06,0.12
7431447,0.31,0.06,0.06
7437376,0.37,0,0
7443308,0,0,0.06
7449249,-0.06,0,0.06
7455191,-0.06,-0.06,0.06
7461138,0.06,0,0.06
7468977,0.06,0,0.12
